Time t / s,Events N,Channel n,Energy E / keV
,0,531,25.975488372093
,0,532,26.0269069767442
,1,533,26.0783255813953
,0,534,26.1297441860465
,0,535,26.1811627906977
,0,536,26.2325813953488
,0,537,26.284
,0,538,26.3354186046512
,0,539,26.3868372093023
,0,540,26.4382558139535
,0,541,26.4896744186046
,0,542,26.5410930232558
,0,543,26.592511627907
,0,544,26.6439302325581
,0,545,26.6953488372093
,0,546,26.7467674418605
,0,547,26.7981860465116
,0,548,26.8496046511628
,0,549,26.9010232558139
,1,550,26.9524418604651
,1,551,27.0038604651163
,0,552,27.0552790697674
,0,553,27.1066976744186
,0,554,27.1581162790698
,0,555,27.2095348837209
,0,556,27.2609534883721
,0,557,27.3123720930232
,0,558,27.3637906976744
,0,559,27.4152093023256
,0,560,27.4666279069767
,0,561,27.5180465116279
,1,562,27.5694651162791
,1,563,27.6208837209302
,1,564,27.6723023255814
,0,565,27.7237209302326
,0,566,27.7751395348837
,0,567,27.8265581395349
,0,568,27.877976744186
,0,569,27.9293953488372
,0,570,27.9808139534884
,0,571,28.0322325581395
,0,572,28.0836511627907
,0,573,28.1350697674419
,0,574,28.186488372093
,0,575,28.2379069767442
,0,576,28.2893255813953
,0,577,28.3407441860465
,0,578,28.3921627906977
,0,579,28.4435813953488
,0,580,28.495
,0,581,28.5464186046512
,0,582,28.5978372093023
,0,583,28.6492558139535
,0,584,28.7006744186046
,0,585,28.7520930232558
,0,586,28.803511627907
,0,587,28.8549302325581
,0,588,28.9063488372093
,0,589,28.9577674418605
,0,590,29.0091860465116
,0,591,29.0606046511628
,0,592,29.1120232558139
,0,593,29.1634418604651
,0,594,29.2148604651163
,0,595,29.2662790697674
,0,596,29.3176976744186
,1,597,29.3691162790698
,0,598,29.4205348837209
,0,599,29.4719534883721
,0,600,29.5233720930232
,0,601,29.5747906976744
,0,602,29.6262093023256
,0,603,29.6776279069767
,0,604,29.7290465116279
,0,605,29.7804651162791
,1,606,29.8318837209302
,0,607,29.8833023255814
,0,608,29.9347209302326
,0,609,29.9861395348837
,0,610,30.0375581395349
,0,611,30.088976744186
,0,612,30.1403953488372
,0,613,30.1918139534884
,0,614,30.2432325581395
,0,615,30.2946511627907
,0,616,30.3460697674419
,0,617,30.397488372093
,0,618,30.4489069767442
,0,619,30.5003255813953
,0,620,30.5517441860465
,0,621,30.6031627906977
,0,622,30.6545813953488
,0,623,30.706
,0,624,30.7574186046512
,0,625,30.8088372093023
,0,626,30.8602558139535
,0,627,30.9116744186046
,0,628,30.9630930232558
,0,629,31.014511627907
,0,630,31.0659302325581
,0,631,31.1173488372093
,0,632,31.1687674418605
,0,633,31.2201860465116
,0,634,31.2716046511628
,0,635,31.3230232558139
,0,636,31.3744418604651
,0,637,31.4258604651163
,0,638,31.4772790697674
,0,639,31.5286976744186
,0,640,31.5801162790698
,1,641,31.6315348837209
,0,642,31.6829534883721
,0,643,31.7343720930232
,0,644,31.7857906976744
,1,645,31.8372093023256
,0,646,31.8886279069767
,0,647,31.9400465116279
,0,648,31.9914651162791
,0,649,32.0428837209302
,0,650,32.0943023255814
,1,651,32.1457209302325
,0,652,32.1971395348837
,0,653,32.2485581395349
,0,654,32.299976744186
,0,655,32.3513953488372
,0,656,32.4028139534884
,0,657,32.4542325581395
,0,658,32.5056511627907
,0,659,32.5570697674419
,0,660,32.608488372093
,0,661,32.6599069767442
,0,662,32.7113255813953
,0,663,32.7627441860465
,0,664,32.8141627906977
,0,665,32.8655813953488
,0,666,32.917
,0,667,32.9684186046512
,0,668,33.0198372093023
,0,669,33.0712558139535
,0,670,33.1226744186046
,0,671,33.1740930232558
,0,672,33.225511627907
,0,673,33.2769302325581
,0,674,33.3283488372093
,0,675,33.3797674418605
,0,676,33.4311860465116
,0,677,33.4826046511628
,0,678,33.5340232558139
,0,679,33.5854418604651
,0,680,33.6368604651163
,0,681,33.6882790697674
,0,682,33.7396976744186
,0,683,33.7911162790698
,0,684,33.8425348837209
,0,685,33.8939534883721
,0,686,33.9453720930232
,0,687,33.9967906976744
,0,688,34.0482093023256
,0,689,34.0996279069767
,0,690,34.1510465116279
,0,691,34.2024651162791
,0,692,34.2538837209302
,0,693,34.3053023255814
,0,694,34.3567209302325
,0,695,34.4081395348837
,0,696,34.4595581395349
,0,697,34.510976744186
,0,698,34.5623953488372
,0,699,34.6138139534884
,0,700,34.6652325581395
,0,701,34.7166511627907
,0,702,34.7680697674419
,0,703,34.819488372093
,0,704,34.8709069767442
,0,705,34.9223255813953
,0,706,34.9737441860465
,0,707,35.0251627906977
,0,708,35.0765813953488
,0,709,35.128
,0,710,35.1794186046512
,0,711,35.2308372093023
,0,712,35.2822558139535
,0,713,35.3336744186046
,0,714,35.3850930232558
,0,715,35.436511627907
,0,716,35.4879302325581
,0,717,35.5393488372093
,0,718,35.5907674418605
,0,719,35.6421860465116
,0,720,35.6936046511628
,0,721,35.7450232558139
,0,722,35.7964418604651
,0,723,35.8478604651163
,0,724,35.8992790697674
,0,725,35.9506976744186
,0,726,36.0021162790698
,0,727,36.0535348837209
,0,728,36.1049534883721
,0,729,36.1563720930232
,1,730,36.2077906976744
,0,731,36.2592093023256
,0,732,36.3106279069767
,0,733,36.3620465116279
,0,734,36.4134651162791
,0,735,36.4648837209302
,0,736,36.5163023255814
,0,737,36.5677209302325
,0,738,36.6191395348837
,0,739,36.6705581395349
,0,740,36.721976744186
,0,741,36.7733953488372
,0,742,36.8248139534884
,0,743,36.8762325581395
,1,744,36.9276511627907
,0,745,36.9790697674418
,0,746,37.030488372093
,0,747,37.0819069767442
,0,748,37.1333255813953
,0,749,37.1847441860465
,0,750,37.2361627906977
,0,751,37.2875813953488
,0,752,37.339
,0,753,37.3904186046512
,0,754,37.4418372093023
,0,755,37.4932558139535
,0,756,37.5446744186046
,0,757,37.5960930232558
,0,758,37.647511627907
,0,759,37.6989302325581
,0,760,37.7503488372093
,0,761,37.8017674418604
,0,762,37.8531860465116
,0,763,37.9046046511628
,0,764,37.9560232558139
,0,765,38.0074418604651
,0,766,38.0588604651163
,0,767,38.1102790697674
,0,768,38.1616976744186
,0,769,38.2131162790698
,0,770,38.2645348837209
,0,771,38.3159534883721
,0,772,38.3673720930232
,0,773,38.4187906976744
,0,774,38.4702093023256
,0,775,38.5216279069767
,0,776,38.5730465116279
,0,777,38.6244651162791
,0,778,38.6758837209302
,0,779,38.7273023255814
,0,780,38.7787209302325
,0,781,38.8301395348837
,0,782,38.8815581395349
,0,783,38.932976744186
,0,784,38.9843953488372
,0,785,39.0358139534884
,0,786,39.0872325581395
,0,787,39.1386511627907
,0,788,39.1900697674418
,0,789,39.241488372093
,0,790,39.2929069767442
,0,791,39.3443255813953
,0,792,39.3957441860465
,0,793,39.4471627906977
,0,794,39.4985813953488
,1,795,39.55
,0,796,39.6014186046511
,0,797,39.6528372093023
,0,798,39.7042558139535
,0,799,39.7556744186046
,0,800,39.8070930232558
,0,801,39.858511627907
,0,802,39.9099302325581
,1,803,39.9613488372093
,0,804,40.0127674418604
,1,805,40.0641860465116
,0,806,40.1156046511628
,0,807,40.1670232558139
,0,808,40.2184418604651
,0,809,40.2698604651163
,0,810,40.3212790697674
,0,811,40.3726976744186
,0,812,40.4241162790698
,0,813,40.4755348837209
,0,814,40.5269534883721
,0,815,40.5783720930232
,0,816,40.6297906976744
,0,817,40.6812093023256
,0,818,40.7326279069767
,0,819,40.7840465116279
,0,820,40.8354651162791
,0,821,40.8868837209302
,0,822,40.9383023255814
,1,823,40.9897209302325
,0,824,41.0411395348837
,0,825,41.0925581395349
,1,826,41.143976744186
,0,827,41.1953953488372
,0,828,41.2468139534884
,0,829,41.2982325581395
,0,830,41.3496511627907
,0,831,41.4010697674418
,0,832,41.452488372093
,1,833,41.5039069767442
,0,834,41.5553255813953
,0,835,41.6067441860465
,0,836,41.6581627906977
,0,837,41.7095813953488
,0,838,41.761
,1,839,41.8124186046511
,0,840,41.8638372093023
,0,841,41.9152558139535
,0,842,41.9666744186046
,0,843,42.0180930232558
,0,844,42.069511627907
,1,845,42.1209302325581
,0,846,42.1723488372093
,0,847,42.2237674418604
,0,848,42.2751860465116
,0,849,42.3266046511628
,0,850,42.3780232558139
,0,851,42.4294418604651
,1,852,42.4808604651163
,0,853,42.5322790697674
,0,854,42.5836976744186
,0,855,42.6351162790697
,0,856,42.6865348837209
,1,857,42.7379534883721
,0,858,42.7893720930232
,0,859,42.8407906976744
,0,860,42.8922093023256
,0,861,42.9436279069767
,0,862,42.9950465116279
,0,863,43.0464651162791
,0,864,43.0978837209302
,1,865,43.1493023255814
,0,866,43.2007209302325
,0,867,43.2521395348837
,0,868,43.3035581395349
,0,869,43.354976744186
,0,870,43.4063953488372
,0,871,43.4578139534884
,0,872,43.5092325581395
,0,873,43.5606511627907
,1,874,43.6120697674418
